to wake up|اِسْتَيْقَظَ (يَسْتَيْقِظُ) اِسْتَيقاظ|verb|||n
statistics|إحْصاء|noun|subjects|m|n
to end|انْتَهى (يَنْتَهي) اِنْتِهاء (مِن)|verb|||n
except, minus|إلاّ|particle|||n
thousand|ألْف|noun|numbers|m|n
thousands|آلاف|noun|numbers|m|y
to begin|بَدَأ (يَبْدأُ) بِداية|verb|||n
after|بَعْدَ|prep|||n
a third|ثُلْث|noun|numbers|m|n
thirds|أثْلاث|noun|numbers|m|y
conversation|حَديث|noun||m|n
conversations|أحاديث|noun||m|y
hummus|حِمَّص|noun|food|m|n
minute|دَقيقَة|noun|times|f|n
minutes|دَقائِق|noun|times|f|y
international|دَوْلِيّ|noun||m|n
quarter|رُبْع|noun|numbers|m|n
quarters|أرْباع|noun|numbers|m|y
o’clock, hour, watch, clock|ساعَة|noun|times|f|n
o’clock (pl), hours, watches, clocks|ساعات|noun|times|f|y
relation|عَلاقة|noun||f|n
relations|عَلاقات|noun||f|y
to mean|عَنى (يَعْني)|verb|||n
pleased to meet you (lit. "a happy opportunity")|فُرْصَة سَعيدة|phrase|common||n
kebab|كَباب|noun|food|m|n
united|مُتَّحِد|adj||m|n
accounting|مُحاسَبة|noun|subjects|f|n
time, appointment|مَوْعِد|noun|times|m|n
times, appointments|مَواعيد|noun|times|m|y
to fall asleep, to sleep|نامَ (يَنامُ) نَوْم|verb|||n
half|نِصْف|noun|numbers|m|n
halves|أنْصاف|noun|numbers|m|y
here|هُنا|adv|common||n
alone, by himself|وَحْدَهُ|adv|||n
The United States of America|الوِلاياتُ المُتَّحِدةُ الأمريكيّة|noun|places|f|n
immediate (parents, siblings) and extended family; extended family|أُسْرة|noun|family|f|n
immediate (parents, siblings) and extended families; extended families|أُسَر|noun|family|f|y
Germany|ألمانيا|noun|places|f|n
German|ألمانيّ|adj|places||n
Pakistan|الباكِسْتان|noun|places|f|n
secondary|ثانَوِيّ|adj|||n
new|جَديد|adj|common|m|n
new (pl)|جُدُد|adj|common|m|y
beautiful, good-looking|جَميل|adj|common||n
beautiful, good-looking (pl)|ون|adj|common||y
modern|حَديث|adj|||n
house|دار|noun|household|f|n
houses|دور|noun|household|f|y
study|دِراسة|noun|education|f|n
studies|دِراسات|noun|education|f|y
to go|ذَهَبَ (يَذْهَبُ) ذَهاب|verb|common||n
driver, chauffeur|سائِق|noun|occupations|m|n
drivers, chauffeurs|سائقون|noun|occupations|m|y
market|سوق|noun|locations|f|n
markets|أسْواق|noun|locations|f|y
friend|صَديق|noun|people|m|n
friends|أصْدِقاء|noun|people|m|y
small child, young child|صَغير|noun|people|m|n
small children, young children|صِغار|noun|people|m|y
tall|طَويل|noun|descriptive|m|n
tall (pl)|طِوال|noun|descriptive|m|y
cord used to hold a headdress in place|عِقال|noun|clothing|m|n
cord used to hold a headdress in place (pl)|عُقُل|noun|clothing|m|y
to work|عَمِلِ (يَعْمَلُ) عَمَل|verb|common||n
a man’s headdress|غُتْرة|noun|clothing|f|n
men’s headdresses|غُتَر/غُترات|noun|clothing|f|y
girl, young woman|فَتاة|noun|people|f|n
girls, young women|فَتَيات|noun|people|f|y
old, ancient|قَديم|adj|common||n
old, ancient (pl)|قُدَماء|adj|common||y
short|قَصير|noun|descriptive|m|n
short (pl)|قِصار|noun|descriptive|m|y
powerful, strong|قَويّ|adj|||n
powerful, strong (pl)|أقوِياء|adj|||y
big, large; old (in age)|كَبير|noun|descriptive||n
big, large; old (in age) (pl)|كِبار|noun|descriptive||y
headdress|كوفِيّة|noun|clothing|f|n
headdresses|كوفيّات|noun|clothing|f|y
to wear|لَبِسَ (يَلبَسُ) لُبْس|verb|||n
particle used negate past-tense verbs|ما|particle|||n
engine, motor|مُحَرِّك|noun|transportation|f|n
engines, motors|مَحَرِّكات|noun|transportation|f|y
handsome|وَسيم|adj||m|n
handsome (pl)|ون|adj||m|y
India|الهِنْد|noun|places|f|n
Japan|اليابان|noun|places|f|n
August|آب|noun|months|m|n
to come|أتى (يَأتي) إتيان (إلى)|verb|||n
Monday|الإثْنَين|noun|days|m|n
Sunday|الأَحَد|noun|days|m|n
March|آذار|noun|months|m|n
Wednesday|الأرْبِعاء|noun|days|m|n
week|أُسْبوع|noun|times|m|n
weeks|أَسابيع|noun|times|m|y
to buy|اِشتَرى (يَشتري) شِراء|verb|||n
certainly, surely|أكيد|adv|||n
yesterday|أَمْسِ|adv|||n
that (after verbs similar to “think”)|أَنَّ|particle|||n
that (after the verb for “say”)|إنَّ|particle|||n
God willing, hopefully|إنْ شاءَ الله|phrase|common||n
May|أيّار|noun|months|m|n
September|أَيْلول|noun|months|m|n
some|بَعْضُ|noun|||n
October|تِشرين الأوَّل|noun|months|m|n
November|تِشرين الثاني|noun|months|m|n
to be acquainted with|تَعَرَّفَ (يَتَعَرَّفُ) تَعَرُّف (على)|verb|||n
calendar|تَقويم|noun||m|n
calendars|تَقاويم|noun||m|y
July|تَمّوز|noun|months|m|n
Tuesday|الثُلاثاء|noun|days|m|n
to come|جاء (يَجيءُ) مَجيء|verb|common||n
sitting|جُاوس|noun|||n
Islamic month (jumAdi al-Aghira)|جُمادى الآخِرة|noun|months|f|n
Islamic month (jumAdi al-‘Ula)|جُمادى الأولى|noun|months|f|n
Friday|الجُمعة|noun|days|m|n
till, until|حَتّى|particle|||n
June|حَزيران|noun|months|m|n
when|حينَ|adv|||n
Thursday|الخَميس|noun|days|m|n
lesson|دَرْس|noun|education|m|n
lessons|دُروس|noun|education|m|y
Islamic month (thu al-Hijja)|ذو الحِجّة|noun|months|m|n
Islamic month (thu al-qi’da)|ذو القِعدة|noun|months|m|n
wonderful, awesome|رائع|adj|||n
Islamic month (rabi al-Aghira)|رَبيع الآخِر|noun|months|m|n
Islamic month (rabi al-‘Awwal)|رَبيع الأوَّل|noun|months|m|n
Islamic month (rajab)|رَجَب|noun|months|m|n
Islamic month (ramaDAn)|رَمَضان|noun|months|m|n
to visit|زارَ (يَزورُ) زِيارة|verb|||n
shall, will (future particle)|سَـ|particle|||n
Saturday|السَبْت|noun|days|m|n
year|سَنة|noun|times|f|n
years|سَنَوات/سُنون|noun|times|f|y
shall, will (future particle)|سَوْفَ|particle|||n
February|شُباط|noun|months|m|n
bed sheet|شَرْشَف|noun|household|m|n
bed sheets|شَراشِف|noun|household|m|y
Islamic month (sha’bAn)|شَعبان|noun|months|m|n
month|شَهْر|noun|times|m|n
months|أشْهُر/شُهور|noun|times|m|y
Islamic month (shawwAl)|شَوّال|noun|months|m|n
Islamic month (Safar)|صَفَر|noun|months|m|n
guest|ضَيْف|noun|people|m|n
guests|ضُيوف|noun|people|m|y
airplane|طائِرة|noun|transportation|f|n
airplanes|طائِرات|noun|transportation|f|y
to think, to believe|ظَنَّ (يَظُنُّ)|verb|||n
tomorrow|غَداً|adv|common||n
hotel|فُنْدُق|noun|locations|m|n
hotels|فَنادِق|noun|locations|m|y
to meet|قابَلَ (يُقابِلُ) مُقابَلة|verb|||n
to say|قالَ (يَقولُ) قَوْل|verb|||n
before|قَبْلَ|adv|common||n
close, near|قَريب|adv|common||n
shirt|قَميص|noun|clothing|m|n
shirts|قُمْصان|noun|clothing|m|y
to be (was, were)|كانَ (يَكونُ) كَوْن|verb|common||n
December|كانون الأوَّل|noun|months|m|n
January|كانون الثاني|noun|months|m|n
objection|مانِع|noun|||n
enthusiastic|مُتَحَمِّس|adj|||n
Islamic month (muHarram)|مُحَرَّم|noun|months|m|n
